place_name,region,menu_name,menu_price,address,url,allergy
다과상사,효창동,바닐라빈라떼 500ml (병),8000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,밀크티 300ml(병),6000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,솔티카라멜라떼 300ml(병),6000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,딸기라떼 500ml(병),8000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,아메리카노 (파우치),5000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,없음
다과상사,효창동,카페라떼 (파우치),5000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,아메리카노 4팩 (파우치),12000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,없음
다과상사,효창동,카페라떼 4팩 (파우치),12000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
이삭토스트 효창공원앞역점,효창동,계란후라이 햄치즈,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,"달걀, 고기, 우유"
이삭토스트 효창공원앞역점,효창동,계란후라이 스페셜,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,"달걀, 고기"
이삭토스트 효창공원앞역점,효창동,계란후라이 딥치즈,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,"달걀, 고기, 우유"
이삭토스트 효창공원앞역점,효창동,소이 크런치 치킨,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,고기
이삭토스트 효창공원앞역점,효창동,프렌치 에그마요,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,달걀
이삭토스트 효창공원앞역점,효창동,계란후라이 햄치즈,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,"달걀, 고기, 우유"
이삭토스트 효창공원앞역점,효창동,계란후라이 스페셜,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,"달걀, 고기"
이삭토스트 효창공원앞역점,효창동,계란후라이 딥치즈,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,"달걀, 고기, 우유"
이삭토스트 효창공원앞역점,효창동,프렌치 에그마요,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,달걀
이삭토스트 효창공원앞역점,효창동,콘베이컨 에그마요,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,"달걀, 고기"
이삭토스트 효창공원앞역점,효창동,스크램블 햄치즈,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,"달걀, 고기, 우유"
이삭토스트 효창공원앞역점,효창동,스크램블 베이컨,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,"달걀, 고기"
이삭토스트 효창공원앞역점,효창동,리얼 양념치킨,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,고기
이삭토스트 효창공원앞역점,효창동,감자 스페셜,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,없음
이삭토스트 효창공원앞역점,효창동,치킨 스페셜,6000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,고기
이삭토스트 효창공원앞역점,효창동,포테이토 팝 토스트,4000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,밀
이삭토스트 효창공원앞역점,효창동,치즈 팝,4000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,우유
이삭토스트 효창공원앞역점,효창동,라구 포테이토 팝,4000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,없음
이삭토스트 효창공원앞역점,효창동,어니언 포테이토 팝,4000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,없음
이삭토스트 효창공원앞역점,효창동,H.아메리카노,5000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,없음
이삭토스트 효창공원앞역점,효창동,I.아메리카노,5000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,없음
이삭토스트 효창공원앞역점,효창동,H.디카페인 아메리카노,5000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,없음
이삭토스트 효창공원앞역점,효창동,I.디카페인 아메리카노,5000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,없음
이삭토스트 효창공원앞역점,효창동,아이스티,5000,서울 용산구 효창동 70-11,https://pcmap.place.naver.com/place/35489534,없음
찰찰보리식빵 효창공원점,효창동,블루베리식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,밀
찰찰보리식빵 효창공원점,효창동,호두호밀식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,밀
찰찰보리식빵 효창공원점,효창동,생크림식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,"밀, 우유"
찰찰보리식빵 효창공원점,효창동,마늘식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,밀
찰찰보리식빵 효창공원점,효창동,곡물식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,밀
찰찰보리식빵 효창공원점,효창동,우유찰보리식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,"밀, 우유"
찰찰보리식빵 효창공원점,효창동,고구마크림치즈식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,"밀, 우유"
찰찰보리식빵 효창공원점,효창동,초코식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,밀
찰찰보리식빵 효창공원점,효창동,단호박콩식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,"밀, 땅콩/대두"
찰찰보리식빵 효창공원점,효창동,알밤식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,밀
찰찰보리식빵 효창공원점,효창동,크림치즈식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,"밀, 우유"
찰찰보리식빵 효창공원점,효창동,찹쌀쫄깃식빵,4000,서울 용산구 효창동 70-1,https://pcmap.place.naver.com/place/1733287329,밀
서로하,효창동,더블 초코스틱 곰돌이 휘낭시에🐻,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,플레인 초코스틱 곰돌이 휘낭시에🐻,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,휘러스크,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,밀
서로하,효창동,쑥크럼블휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,호지 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,플레인 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,얼그레이 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,츄러스 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,로투스 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,소보루황치즈 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 고기, 우유"
서로하,효창동,바질토마토 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,피넛카라멜 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,카페크리스피 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,솔티카라멜 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
서로하,효창동,무화과크림치즈 휘낭시에,3000,서울 용산구 효창동 5-117,https://pcmap.place.naver.com/place/1998013504,"달걀, 우유"
빅리터,효창동,B 빅 아메리카노(4샷)(1L),7000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 대만흑당버블티(인기메뉴)(1L 펄O),9000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 수제 생크림 와플 누텔라(인기메뉴),5000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 우유"
빅리터,효창동,B 카야버터 토스트(인기메뉴),6000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 우유"
빅리터,효창동,래미안 첼리투스,8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 빅 아메리카노(4샷),7000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 자두스무디,8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 자바칩 프라페,8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 얼음동동 미숫가루,8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,밀
빅리터,효창동,B 천혜향 스무디,8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 빅 아메리카노(4샷)(1L),7000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 헤이즐넛아메리카노(1L),7000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 대만흑당 아메리카노(1L),7000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 카페라떼(4샷)(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 바닐라 라떼(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 리얼베리 라떼(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 리얼 딸기 라떼(인기메뉴)(1L),9000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 아빠는 딸바보 (딸바)(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 리얼믹스베리 바나나(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 리얼 초코 라떼(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 자두 스무디(인기메뉴)(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 복숭아 스무디,7000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 탱크보이(배) 스무디(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 파인애플 스무디(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 딸기 스무디(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 죠리퐁 프라페(인기메뉴)(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 민트초코 프라페(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 자바칩 프라페(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 리얼초코 프라페(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 쿠앤크 초코 프라페(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 대만흑당버블티(인기메뉴)(1L 펄O),9000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B얼그레이밀크티(1L(펄X)),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B얼그레이밀크티(1L(펄O)),9000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 아쌈홍차밀크티(1L(펄X)),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 아쌈홍차밀크티(1L(펄O)),9000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 체리콕(인기메뉴)(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B리얼베리 에이드(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 청포도 에이드(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 체리 에이드(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 오렌지 에이드(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 복숭아 아이스티(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 레몬 아이스티(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 망고 주스(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 사과 주스(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 포도 주스(1L),8000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 카야버터 토스트(인기메뉴),6000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 우유"
빅리터,효창동,B 카야치즈 토스트,6000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 우유"
빅리터,효창동,B 카야 햄 버터 토스트(인기메뉴),6000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 고기, 우유"
빅리터,효창동,B 카야 햄치즈 토스트,6000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 고기, 우유"
빅리터,효창동,B 카야 햄치 버터 토스트,6000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 고기, 우유"
빅리터,효창동,B 수제 생크림 와플 누텔라(인기메뉴),5000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 우유"
빅리터,효창동,B 수제생크림 와플 누텔라바나나,5000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 우유"
빅리터,효창동,B 수제 생크림와플 애플잼 (인기메뉴),5000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 우유"
빅리터,효창동,B 수제 생크림와플 애플시나몬,5000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 우유"
빅리터,효창동,B 수제 생크림와플 로투스,5000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,"밀, 우유"
빅리터,효창동,B 악마의 누텔라 케익(인기메뉴),5000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 뚱 솔티드캬라멜 (인기메뉴),4000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
빅리터,효창동,B 뚱 쿠앤크크림치즈(인기메뉴),4000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 뚱 딸기 요거트(인기메뉴),4000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 뚱 황치즈,4000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,우유
빅리터,효창동,B 뚱 다크초콜릿,4000,서울 용산구 효창동 5,https://pcmap.place.naver.com/place/1567612890,없음
피자마루 용산효창공원점,효창동,[NEW] 레드콘 피자,12000,서울 용산구 효창동 5-102,https://pcmap.place.naver.com/place/18148382,밀
피자마루 용산효창공원점,효창동,페퍼로니 치즈폭탄 피자(L),13000,서울 용산구 효창동 5-102,https://pcmap.place.naver.com/place/18148382,"밀, 우유"
